Titre;Réalisateur;Adresse;Organisme Demandeur;Type de tournage;Arrondissement;Date debut;Date fin;xy
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;34  RUE  RICHER;LES IMPRODUCTIBLES;SERIE TELEVISEE;75009;2016-04-05;2016-04-05;48.87409, 2.344515
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;RUE  SAINTE CECILE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75009;2016-04-06;2016-04-06;48.873133, 2.346404
IN AMERICA;VINCENT PRIMAULT;TERRE PLEIN  DE LA PLACE DE L'ETOILE;MAKING PROD;SERIE TELEVISEE;75016;2016-04-06;2016-04-06;
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;5  RUE  DES IRLANDAIS;EGO PRODUCTION;SERIE TELEVISEE;75005;2016-04-08;2016-04-08;48.844211, 2.34602
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;7  RUE  APOLLINE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75002;2016-04-11;2016-04-11;48.869027, 2.353354
LES HOMMES DE L'OMBRE;FRED GARSON;PASSERELLE*  DE LA MOSELLE;MACONDO;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.875537, 2.391546
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  OLIVIER MESSIAEN;MACONDO;SERIE TELEVISEE;75013;2016-04-15;2016-04-15;48.830213, 2.378561
LES HOMMES DE L'OMBRE;FRED GARSON;QUAI  FRANCOIS MAURIAC;MACONDO;SERIE TELEVISEE;75013;2016-04-15;2016-04-15;48.833143, 2.378503
LES HOMMES DE L'OMBRE;FRED GARSON;PASSERELLE*  SIMONE DE BEAUVOIR;MACONDO;SERIE TELEVISEE;75013;2016-04-15;2016-04-15;48.823843, 2.363881
LES HOMMES DE L'OMBRE;FRED GARSON;74  BOULEVARD  DE PORT ROYAL;MACONDO;SERIE TELEVISEE;75005;2016-04-15;2016-04-15;48.838098, 2.344244
CHEFS - SAISON 2;ARNAUD MALHERBE;4  RUE  ARSENE HOUSSAYE;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-18;2016-04-27;48.873602, 2.298162
CHEFS - SAISON 2;ARNAUD MALHERBE;QUAI  DE LA TOURNELLE;CALT PRODUCTION;SERIE TELEVISEE;75005;2016-04-25;2016-04-25;48.850425, 2.353049
MUNCH;GABRIEL LAFERRIERE;RUE  LACAZE;EXILENE FILMS;SERIE TELEVISEE;75014;2016-05-13;2016-05-13;48.825038, 2.330291
MUNCH;GABRIEL LAFERRIERE;12  PLACE  DENFERT ROCHEREAU;EXILENE FILMS;SERIE TELEVISEE;75014;2016-05-20;2016-05-20;48.834239, 2.330634
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;RUE  DE L'ENCHEVAL;SON ET LUMIERE;SERIE TELEVISEE;75019;2016-05-23;2016-05-23;48.879176, 2.389117
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;9  RUE  MANUEL;DEMD PRODUCTIONS;SERIE TELEVISEE;75009;2016-05-23;2016-05-23;48.878255, 2.340365
LOULOU;LEO KARMANN;BOIS*  DE BOULOGNE;LA ONDA PRODUCTIONS;SERIE TELEVISEE;75016;2016-05-23;2016-05-23;48.875133, 2.286885
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;PISCINE  ALFRED NAKACHE;SON ET LUMIERE;SERIE TELEVISEE;75020;2016-05-25;2016-05-25;
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;18  RUE  YVES TOUDIC;SON ET LUMIERE;SERIE TELEVISEE;75010;2016-05-30;2016-05-30;48.869827, 2.363964
CHEFS - SAISON 2;ARNAUD MALHERBE;8  RUE  DES HALLES;CALT PRODUCTION;SERIE TELEVISEE;75001;2016-06-04;2016-06-04;48.859367, 2.347219
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DE LA VRILLIERE;CALT PRODUCTION;SERIE TELEVISEE;75002;2016-06-04;2016-06-04;48.869699, 2.334682
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;5  RUE  SEDAINE;DEMD PRODUCTIONS;SERIE TELEVISEE;75011;2016-06-06;2016-06-06;48.855646, 2.37119
MUNCH;GABRIEL LAFERRIERE;1  RUE  SAINT YVES;EXILENE FILMS;SERIE TELEVISEE;75014;2016-06-07;2016-06-07;48.825622, 2.334291
CHEFS - SAISON 2;ARNAUD MALHERBE;2  RUE  DE CHALIGNY;CALT PRODUCTION;SERIE TELEVISEE;75012;2016-06-22;2016-06-22;48.845195, 2.383608
CHEFS - SAISON 2;ARNAUD MALHERBE;PARC  DE BERCY;CALT PRODUCTION;SERIE TELEVISEE;75012;2016-06-22;2016-06-22;48.836091, 2.380547
LES MEUFS;ELODIE FAURE BOULUE;RUE  DE DUNKERQUE;ELODIE FAURE BOULUE;SERIE TELEVISEE;75009;2016-06-27;2016-06-27;48.881745, 2.347275
CHEFS - SAISON 2;ARNAUD MALHERBE;QUAI  ET RUE DE L'HOTEL DE VILLE;CALT PRODUCTION;SERIE TELEVISEE;75004;2016-07-02;2016-07-02;48.854811, 2.354243
UN CAFE AVEC...;SAMBA MBALLO;12/24  RUE  DE LA GOUTTE D'OR;6 COM;SERIE TELEVISEE;75018;2016-07-03;2016-07-03;48.885077, 2.352792
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;BOULEVARD  DIDEROT/RUE DE PICPUS;CINETEVE;SERIE TELEVISEE;75012;2016-07-08;2016-07-08;48.843975, 2.401575
UN CAFE AVEC...;SAMBA MBALLO;46/176  BOULEVARD  MAX DORMOY;6 COM;SERIE TELEVISEE;75018;2016-07-09;2016-07-09;48.887296, 2.35968
CLEM/SAISON 7;CHRISTOPHE CAMPOS;101  AVENUE  DE LA REPUBLIQUE;MERLIN PRODUCTIONS;SERIE TELEVISEE;75011;2016-07-11;2016-07-13;48.863529, 2.384508
JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;RUE  MARGUERITE DURAS;DEMD PRODUCTIONS;SERIE TELEVISEE;75013;2016-07-11;2016-07-11;48.829466, 2.380566
JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;ESPLANADE  PIERRE VIDAL NAQUET;DEMD PRODUCTIONS;SERIE TELEVISEE;75013;2016-07-11;2016-07-11;48.82977, 2.38169
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;33  BOULEVARD  DE CLICHY;SON ET LUMIERE;SERIE TELEVISEE;75009;2016-07-21;2016-07-21;48.882679, 2.335592
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;28  RUE  DE DOUAI;SON ET LUMIERE;SERIE TELEVISEE;75009;2016-07-21;2016-07-21;48.88253, 2.332927
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;4  BOULEVARD  DU PALAIS/PALAIS DE JUSTICE;SON ET LUMIERE;SERIE TELEVISEE;75001;2016-08-01;2016-08-03;48.855732, 2.345992
RED OAKS;HALL HARTLEY;166  AVENUE  DE SUFFREN;FIRSTEP;SERIE TELEVISEE;75015;2016-08-04;2016-08-04;48.846307, 2.308241
RED OAKS;HALL HARTLEY;RUE  DES BARRES;FIRSTEP;SERIE TELEVISEE;75004;2016-08-05;2016-08-05;48.855335, 2.355315
RED OAKS;HALL HARTLEY;RUE  DU GRENIER SUR L'EAU;FIRSTEP;SERIE TELEVISEE;75004;2016-08-05;2016-08-05;48.854967, 2.356486
INSIDE/OUT;MICHEL REILHAC;PLACE  DE LA BATAILLE DE STALINGRAD;SMALL BANG;SERIE TELEVISEE;75019;2016-08-10;2016-08-10;48.883612, 2.369581
INSIDE/OUT;MICHEL REILHAC;BASSIN  DE LA VILLETTE;SMALL BANG;SERIE TELEVISEE;75019;2016-08-10;2016-08-10;48.876995, 2.387721
INSIDE/OUT;MICHEL REILHAC;PONT  DE BIR HAKEIM;SMALL BANG;SERIE TELEVISEE;75015;2016-08-11;2016-08-11;48.854649, 2.288998
BLACKPILLS/VIRGIN;NATH DUMONT;SQUARE  LOUISE MICHEL;TOGETHER MEDIA 2;SERIE TELEVISEE;75018;2016-08-22;2016-08-22;
BLACKPILLS/VIRGIN;NATH DUMONT;PLACE  GUSTAVE TOUDOUZE;TOGETHER MEDIA 2;SERIE TELEVISEE;75009;2016-08-22;2016-08-22;48.879571, 2.337426
CLEM/SAISON 7;CHRISTOPHE CAMPOS;19  RUE  DE PALESTRO;MERLIN PRODUCTIONS;SERIE TELEVISEE;75002;2016-08-23;2016-08-23;48.865645, 2.351516
CLEM/SAISON 7;CHRISTOPHE CAMPOS;23  RUE  DE LA GRANGE AUX BELLES;MERLIN PRODUCTIONS;SERIE TELEVISEE;75010;2016-08-23;2016-08-23;48.874681, 2.366281
CLEM/SAISON 7;CHRISTOPHE CAMPOS;RUE  DES NANETTES/CONDILLAC/LYCEE PREVERT;MERLIN PRODUCTIONS;SERIE TELEVISEE;75011;2016-09-01;2016-09-01;48.864409, 2.383377
CLEM/SAISON 7;CHRISTOPHE CAMPOS;10  RUE  BOULLE;MERLIN PRODUCTIONS;SERIE TELEVISEE;75011;2016-09-09;2016-09-09;48.856822, 2.372255
CLEM/SAISON 7;CHRISTOPHE CAMPOS;20  RUE  DE LA FOLIE MERICOURT;MERLIN PRODUCTIONS;SERIE TELEVISEE;75011;2016-09-09;2016-09-09;48.862406, 2.373802
CLEM/SAISON 7;CHRISTOPHE CAMPOS;13  RUE  DE LA GRANGE AUX BELLES;MERLIN PRODUCTIONS;SERIE TELEVISEE;75010;2016-09-12;2016-09-12;48.873962, 2.365164
10%/SAISON 2;JEANNE HERRY;AVENUE  GEORGES MANDEL;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75016;2016-09-15;2016-09-15;48.863483, 2.281409
BLACKPILLS/RAISING HITLER;LOUIS FARGE;JARDIN*  DU RANELAGH;TOGETHER MEDIA 2;SERIE TELEVISEE;75016;2016-09-23;2016-09-23;48.855183, 2.271948
BLACKPILLS/RAISING HITLER;LOUIS FARGE;10  RUE  FRANCOIS PONSARD;TOGETHER MEDIA 2;SERIE TELEVISEE;75016;2016-09-23;2016-09-23;48.859093, 2.274622
QU'EST-CE QU'ON ATTEND POUR ETRE HEUREUX;ANNE GIAFFERI;RUE  DES VIGNES;GAZELLE ET CIE;SERIE TELEVISEE;75016;2016-09-26;2016-09-26;48.855864, 2.275627
BLACKPILLS/RAISING HITLER;LOUIS FARGE;TERRE PLEIN  CENTRAL BOULEVARD EDGAR QUINET;TOGETHER MEDIA 2;SERIE TELEVISEE;75014;2016-09-26;2016-09-26;48.840764, 2.326543
10%/SAISON 2;JEANNE HERRY;RUE  PAUL STRAUSS;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-30;2016-09-30;48.866511, 2.407275
10%/SAISON 2;JEANNE HERRY;BOULEVARD  MORTIER;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-30;2016-09-30;48.86958, 2.408745
10%/SAISON 2;JEANNE HERRY;PLACE  DU COLONEL CHANUTE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75020;2016-09-30;2016-09-30;48.866144, 2.406209
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PONT  DES ARTS;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;48.863109, 2.33838
CHRONIQUES PARISIENNES;ZABOU BREITMAN;VOIE  GEORGES POMPIDOU;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;
CHRONIQUES PARISIENNES;ZABOU BREITMAN;SQUARE  DE LA PLACE DAUPHINE;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75001;2016-10-01;2016-10-01;48.856822, 2.342303
CHRONIQUES PARISIENNES;ZABOU BREITMAN;PORT  DU GROS CAILLOU;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75007;2016-10-01;2016-10-01;48.85708, 2.302723
CHRONIQUES PARISIENNES;ZABOU BREITMAN;20  AVENUE  DE NEW YORK;LES FILMS DU KIOSQUE;SERIE TELEVISEE;75016;2016-10-01;2016-10-01;48.862712, 2.293955
WTF FRANCE;FELIX GUIMARD;SQUARE  DU TEMPLE;STUDIO BAGEL PRODUCTIONS;SERIE TELEVISEE;75003;2016-10-04;2016-10-04;48.864589, 2.360685
LA MANTE;ALEXANDRE LAURENT;12  PLACE  DE LA NATION;SEPTEMBRE PRODUCTIONS;SERIE TELEVISEE;75012;2016-10-04;2016-10-04;48.847357, 2.395133
ENGRENAGES SAISON 6/N° 7 A 12;FREDERIC MERMOUD;PLACE  DES FETES;SON ET LUMIERE;SERIE TELEVISEE;75019;2016-10-06;2016-10-06;48.877481, 2.393126
LEO MATTEI/14 ET 15;NICOLAS HERDT;5/9  BOULEVARD  BOURDON;LGM CINEMA;SERIE TELEVISEE;75004;2016-10-06;2016-10-06;48.848397, 2.365936
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;PORTE  DE LA MUETTE/FETE F. LA FETE A NEU NEU;EGO PRODUCTION;SERIE TELEVISEE;75016;2016-10-07;2016-10-07;48.878007, 2.25972
LEO MATTEI/14 ET 15;NICOLAS HERDT;PASSERELLE*  SIMONE DE BEAUVOIR;LGM CINEMA;SERIE TELEVISEE;75012;2016-10-07;2016-10-07;
10%/SAISON 2;JEANNE HERRY;RUE  SAINT DOMINIQUE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;48.859804, 2.309217
10%/SAISON 2;JEANNE HERRY;RUE  BELLECHASSE;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;48.857446, 2.322191
10%/SAISON 2;JEANNE HERRY;PLACE  VAUBAN;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-10;2016-10-10;48.853056, 2.311754
ALICE NEVERS, LE JUGE EST UNE FEMME/84 ET 85;ERIC LE ROUX;RUE  DES PETITES ECURIES;EGO PRODUCTION;SERIE TELEVISEE;75010;2016-10-11;2016-10-11;48.873662, 2.351311
THE PACKAGE;CHANG KEUN CHUN;2  RUE  DU GENERAL LAMBERT;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75007;2016-10-12;2016-10-12;48.856158, 2.294797
THE PACKAGE;CHANG KEUN CHUN;PLACE  DU TERTRE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;48.886576, 2.340543
THE PACKAGE;CHANG KEUN CHUN;1/5  RUE  SAINT ELEUTHERE;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-13;2016-10-13;48.88567, 2.342206
10%/SAISON 2;JEANNE HERRY;99  AVENUE  DES CHAMPS ELYSEES;MON VOISIN PRODUCTIONS;SERIE TELEVISEE;75008;2016-10-14;2016-10-14;48.871794, 2.301116
THE PACKAGE;CHANG KEUN CHUN;1/11  RUE  FOYATIER;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75018;2016-10-14;2016-10-14;48.885663, 2.342313
THE PACKAGE;CHANG KEUN CHUN;5/7  AVENUE  DE LA PORTE DES TERNES;BH PARIS MEDIA PRODUCTIONS;SERIE TELEVISEE;75017;2016-10-15;2016-10-15;48.881682, 2.281701
LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;RUE  JEAN CARRIES;LGM CINEMA;SERIE TELEVISEE;75007;2016-03-09;2016-03-10;48.85245, 2.299319
LEO MATTEI/N°13 ET 14;SEBASTIEN CIRADE;AVENUE  DU GENERAL FLOQUET;LGM CINEMA;SERIE TELEVISEE;75007;2016-03-09;2016-03-10;48.853144, 2.298341
CHEFS - SAISON 2;ARNAUD MALHERBE;CITE  DU MIDI;CALT PRODUCTION;SERIE TELEVISEE;75018;2016-03-17;2016-03-17;48.883624, 2.335717
CHEFS - SAISON 2;ARNAUD MALHERBE;3  RUE  BACHAUMONT;CALT PRODUCTION;SERIE TELEVISEE;75002;2016-03-18;2016-03-18;48.865846, 2.34652
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  BAZEILLES;MACONDO;SERIE TELEVISEE;75005;2016-03-21;2016-03-21;48.839143, 2.350408
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  CENSIER;MACONDO;SERIE TELEVISEE;75005;2016-03-21;2016-03-21;48.840618, 2.353413
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  MOUFFETARD;MACONDO;SERIE TELEVISEE;75005;2016-03-21;2016-03-21;48.842184, 2.349646
LES HOMMES DE L'OMBRE;FRED GARSON;PASSERELLE*  LEOPOLD SEDAR SENGHOR;MACONDO;SERIE TELEVISEE;75007;2016-03-22;2016-03-22;
THE COLLECTION;DEARBHLA WALSH;SQUARE  JEAN XXIII;FEDERATION ENTERTAINMENT;SERIE TELEVISEE;75004;2016-03-30;2016-03-30;48.852279, 2.351269
LES HOMMES DE L'OMBRE;FRED GARSON;244  RUE  DE RIVOLI;MACONDO;SERIE TELEVISEE;75001;2016-03-31;2016-03-31;48.866055, 2.325289
THE COLLECTION;DEARBHLA WALSH;PLACE  DES PETITS PERES ET CHAUSSEE;FEDERATION ENTERTAINMENT;SERIE TELEVISEE;75002;2016-03-31;2016-03-31;48.866521, 2.340585
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;3  RUE  D'ARGENTEUIL;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-04-01;2016-04-01;48.864359, 2.334043
STAY WITH ME;XIANCHENG DENG;20  RUE  LAFAYETTE;PARIS 818 MEDIA;SERIE TELEVISEE;75009;2016-04-02;2016-04-02;48.873828, 2.336218
LES HOMMES DE L'OMBRE;FRED GARSON;QUAI  DE L'HORLOGE;MACONDO;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.85694, 2.342827
ALICE NEVERS, LE JUGE EST UNE FEMME/82 ET 83;ERIC LE ROUX;3  RUE  D'ARGENTEUIL;EGO PRODUCTION;SERIE TELEVISEE;75001;2016-04-04;2016-04-04;48.864359, 2.334043
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;CONTRE ALLEE  DU BOULEVARD DE LA VILLETTE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75019;2016-04-04;2016-04-04;48.878667, 2.370574
LES HOMMES DE L'OMBRE;FRED GARSON;23/31  RUE  PIERRE SEMARD;MACONDO;SERIE TELEVISEE;75009;2016-04-05;2016-04-05;48.879105, 2.348291
IN AMERICA;VINCENT PRIMAULT;CONTRE ALLEE  3 AU 7 AV DE LA GRANDE ARMEE;MAKING PROD;SERIE TELEVISEE;75008;2016-04-06;2016-04-06;48.866982, 2.302699
MA PIRE ANGOISSE;VLADIMIR RODIONOFF;8  RUE  LAPLACE;LES IMPRODUCTIBLES;SERIE TELEVISEE;75005;2016-04-07;2016-04-08;48.847287, 2.347722
IN AMERICA;VINCENT PRIMAULT;70  BOULEVARD  DE CHARONNE;MAKING PROD;SERIE TELEVISEE;75011;2016-04-07;2016-04-07;48.854438, 2.395684
LES HOMMES DE L'OMBRE;FRED GARSON;PASSERELLE*  DE LA MOSELLE;MACONDO;SERIE TELEVISEE;75019;2016-04-11;2016-04-11;48.875537, 2.391546
LES HOMMES DE L'OMBRE;FRED GARSON;BERGES*  DU QUAI DE LA LOIRE;MACONDO;SERIE TELEVISEE;75019;2016-04-12;2016-04-12;48.885571, 2.375345
PROFILAGE - SAISON 7/N° 70 ET 71;VINCENT JAMAIN;70  RUE  DE MEAUX;BEAUBOUG AUDIOVISUEL;SERIE TELEVISEE;75019;2016-04-13;2016-04-14;48.88322, 2.37655
LES HOMMES DE L'OMBRE;FRED GARSON;CARREFOUR  RUE THOMAS MANN;MACONDO;SERIE TELEVISEE;75013;2016-04-15;2016-04-15;48.829966, 2.379982
LES HOMMES DE L'OMBRE;FRED GARSON;RUE  MARIE ANDREE LAGROUA WEILL HALLE;MACONDO;SERIE TELEVISEE;75013;2016-04-15;2016-04-15;48.828462, 2.380229
CHEFS - SAISON 2;ARNAUD MALHERBE;QUAI  DE MONTEBELLO;CALT PRODUCTION;SERIE TELEVISEE;75005;2016-04-25;2016-04-25;48.851803, 2.349258
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  ARSENE HOUSSAYE;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-26;2016-04-26;48.874418, 2.299197
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DU FAUBOURG SAINT HONORE;CALT PRODUCTION;SERIE TELEVISEE;75008;2016-04-26;2016-04-26;48.872633, 2.311702
MAGIC KIDS;JEAN LUC BERTRAND;PARC  DE BERCY;ELECTRON LIBRE PRODUCTIONS;SERIE TELEVISEE;75012;2016-04-28;2016-04-29;48.836091, 2.380547
UN CAFE AVEC...;SAMBA MBALLO;BOULEVARD  BARBES;6 COM;SERIE TELEVISEE;75018;2016-05-02;2016-05-02;48.887506, 2.34951
UN CAFE AVEC...;SAMBA MBALLO;RUE  DE LA GOUTTE D'OR;6 COM;SERIE TELEVISEE;75018;2016-05-02;2016-05-02;48.88508, 2.352684
VOUS LES FEMMES;SHAUN SEVERI;28/38  RUE  BOTZARIS;CALT PRODUCTION;SERIE TELEVISEE;75019;2016-05-02;2016-05-03;48.878691, 2.38248
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;38  RUE  DU FAUBOURG SAINT JACQUES;SON ET LUMIERE;SERIE TELEVISEE;75014;2016-05-05;2016-05-06;48.836403, 2.337996
04:04:02;SOPHIE LEVY;TERRAIN*  DE FOOT POTERNE DES PEUPLIERS;SOFILMS;SERIE TELEVISEE;75013;2016-05-05;2016-05-05;48.820361, 2.352527
MUNCH;GABRIEL LAFERRIERE;RUE  DU DOUANIER ROUSSEAU;EXILENE FILMS;SERIE TELEVISEE;75014;2016-05-13;2016-05-13;48.826138, 2.330907
CLEM/SAISON 7;CHRISTOPHE CAMPOS;20  RUE  MEDERIC/ECOLE DE CUISINE JEAN DROUANT;MERLIN PRODUCTIONS;SERIE TELEVISEE;75017;2016-05-17;2016-05-20;48.880748, 2.30374
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;16  RUE  CHORON;DEMD PRODUCTIONS;SERIE TELEVISEE;75009;2016-05-19;2016-05-27;48.877669, 2.340611
THE COLLECTION;DAN ZEFF;SQUARE  BLEUSTEIN BLANCHET;FEDERATION ENTERTAINMENT;SERIE TELEVISEE;75018;2016-05-23;2016-05-23;48.890015, 2.335632
THE COLLECTION;DAN ZEFF;42  RUE  LEPIC;FEDERATION ENTERTAINMENT;SERIE TELEVISEE;75018;2016-05-24;2016-05-24;48.886101, 2.334527
LOULOU;LEO KARMANN;BOIS*  DE BOULOGNE;LA ONDA PRODUCTIONS;SERIE TELEVISEE;75016;2016-05-24;2016-05-24;48.875133, 2.286885
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;25  RUE  YVES TOUDIC;SON ET LUMIERE;SERIE TELEVISEE;75010;2016-05-26;2016-06-14;48.870873, 2.362897
CLEM/SAISON 7;CHRISTOPHE CAMPOS;PARC  MONTSOURIS;MERLIN PRODUCTIONS;SERIE TELEVISEE;75014;2016-05-27;2016-05-27;48.822372, 2.334367
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  CATINAT;CALT PRODUCTION;SERIE TELEVISEE;75002;2016-06-04;2016-06-04;48.868877, 2.333185
JOSEPHINE ANGE GARDIEN/EPISODE 81;DENIS THYBAUD;15  RUE  SAINT SABIN;DEMD PRODUCTIONS;SERIE TELEVISEE;75011;2016-06-06;2016-06-06;48.855463, 2.371776
MUNCH;GABRIEL LAFERRIERE;1  RUE  SAINT YVES;EXILENE FILMS;SERIE TELEVISEE;75014;2016-06-06;2016-06-06;48.825622, 2.334291
MUNCH;GABRIEL LAFERRIERE;RUE  DES ARTISTES;EXILENE FILMS;SERIE TELEVISEE;75014;2016-06-06;2016-06-06;48.826354, 2.334666
MUNCH;GABRIEL LAFERRIERE;PARC  MONTSOURIS;EXILENE FILMS;SERIE TELEVISEE;75014;2016-06-07;2016-06-07;48.822372, 2.334367
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;96  RUE  JEAN PIERRE TIMBAUD;CINETEVE;SERIE TELEVISEE;75011;2016-06-15;2016-06-17;48.867766, 2.377989
ENGRENAGES/SAISON 6/N° 1 A 6;FREDERIC JARDIN;RUE  BOSSUET;SON ET LUMIERE;SERIE TELEVISEE;75010;2016-06-20;2016-06-20;48.878665, 2.352375
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;43  RUE  DE CONSTANTINOPLE;CINETEVE;SERIE TELEVISEE;75008;2016-06-20;2016-06-20;48.880925, 2.317246
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  DES BARRES;CALT PRODUCTION;SERIE TELEVISEE;75004;2016-07-02;2016-07-02;48.855335, 2.355315
CHEFS - SAISON 2;ARNAUD MALHERBE;RUE  SAINT DENIS;CALT PRODUCTION;SERIE TELEVISEE;75002;2016-07-02;2016-07-02;48.866753, 2.351137
CHEFS - SAISON 2;ARNAUD MALHERBE;QUAI  DES GRANDS AUGUSTINS;CALT PRODUCTION;SERIE TELEVISEE;75006;2016-07-02;2016-07-02;48.854737, 2.342109
L'ART DU CRIME;CHARLOTTE BRANDSTROM;11  AVENUE  DU PRESIDENT WILSON;GAUMONT TELEVISION;SERIE TELEVISEE;75016;2016-07-04;2016-07-04;48.864632, 2.297061
UN CAFE AVEC...;SAMBA MBALLO;85/165  RUE  MARCADET;6 COM;SERIE TELEVISEE;75018;2016-07-05;2016-07-05;48.891356, 2.337103
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;4BIS  RUE  ASSELINE;CINETEVE;SERIE TELEVISEE;75014;2016-07-13;2016-07-13;48.835057, 2.322494
L'ART DU CRIME;CHARLOTTE BRANDSTROM;SQUARE  JEHAN RICTUS;GAUMONT TELEVISION;SERIE TELEVISEE;75018;2016-07-15;2016-07-15;48.8925, 2.349552
JOSEPHINE ANGE GARDIEN/EPISODE 82;PHILIPPE PROTEAU;RUE  LINOIS;DEMD PRODUCTIONS;SERIE TELEVISEE;75015;2016-07-18;2016-07-19;48.847916, 2.283699
LA VIE DEVANT ELLES/SAISON 2;GABRIEL AGHION;50  RUE  DE CLICHY;CINETEVE;SERIE TELEVISEE;75009;2016-07-20;2016-07-20;48.880251, 2.329044
BLACKPILLS/VIRGIN;NATH DUMONT;15  BOULEVARD  DAVOUT;TOGETHER MEDIA 2;SERIE TELEVISEE;75020;2016-08-04;2016-08-04;48.848415, 2.411032
BLACKPILLS/VIRGIN;NATH DUMONT;PONT  DE LA TOURNELLE;TOGETHER MEDIA 2;SERIE TELEVISEE;75005;2016-08-04;2016-08-04;48.850009, 2.355297
RED OAKS;HALL HARTLEY;JARDIN*  DU MUSEE GALLIERA;FIRSTEP;SERIE TELEVISEE;75016;2016-08-04;2016-08-04;48.865472, 2.297646
BLACKPILLS/VIRGIN;NATH DUMONT;70  RUE  DE MEAUX;TOGETHER MEDIA 2;SERIE TELEVISEE;75019;2016-08-05;2016-08-05;48.88322, 2.37655
RED OAKS;HALL HARTLEY;12  RUE  DE JOUY;FIRSTEP;SERIE TELEVISEE;75004;2016-08-05;2016-08-05;48.854994, 2.35817
BLACKPILLS/PLAYGROUND;PASCAL SID;BOIS*  DE BOULOGNE;TOGETHER MEDIA 2;SERIE TELEVISEE;75016;2016-08-08;2016-08-08;48.875133, 2.286885
INSIDE/OUT;MICHEL REILHAC;VOIE  GEORGES POMPIDOU;SMALL BANG;SERIE TELEVISEE;75004;2016-08-11;2016-08-11;
